gs_id,gnn_cluster,structlite_cluster
GEX030962,0,3
GEX030972,4,7
GEX030973,3,3
GEX031006,5,2
GEX031060,2,5
GEX031090,4,7
GEX031091,1,0
GEX031147,4,7
GEX031200,9,3
GEX031290,7,5
GEX031291,3,3
GEX031360,9,7
GEX031369,0,2
GEX031407,2,6
GEX031445,3,7
GEX031446,6,0
GEX031471,3,3
GEX031474,1,2
GEX031482,4,7
GEX031515,0,3
GEX031516,9,3
GEX031547,7,5
GEX031587,1,5
GEX031588,0,7
GEX031600,7,5
GEX031617,3,7
GEX031618,7,5
GEX031740,4,3
GEX031754,1,2
GEX031877,8,1
GEX031894,6,5
GEX031895,0,2
GEX031914,3,2
GEX031915,6,0
GEX031916,3,3
GEX031917,7,5
GEX031946,2,6
GEX031947,5,1
GEX031961,8,1
GEX031977,7,4
GEX031978,7,4
GEX031997,8,1
GEX032074,5,7
GEX032080,0,3
GEX032183,9,2
GEX032184,9,2
GEX032198,0,3
GEX032200,8,1
GEX032203,4,3
GEX032231,7,7
GEX032302,6,2
GEX032303,6,0
GEX032317,9,3
GEX032318,1,0
GEX032333,5,4
GEX032412,1,2
GEX032435,9,7
GEX032476,3,7
GEX032477,7,5
GEX032531,6,9
GEX032532,1,9
GEX032541,8,1
GEX032637,0,7
GEX032653,8,4
GEX032700,1,3
GEX032701,3,7
GEX032736,4,7
GEX032737,1,2
GEX032741,8,1
GEX032805,5,3
GEX032806,5,0
GEX032830,1,0
GEX032838,2,6
GEX032863,3,3
GEX032885,2,6
GEX032914,0,3
GEX032915,6,3
GEX032929,1,9
GEX032959,3,7
GEX032993,7,4
GEX033102,7,9
GEX033171,3,3
GEX033175,9,3
GEX033215,6,2
GEX033216,6,2
GEX033222,9,0
GEX033378,0,3
GEX033475,1,2
GEX033479,9,2
GEX033504,9,7
GEX033536,1,0
GEX033611,5,1
GEX033650,0,7
GEX033651,6,0
GEX033666,0,7
GEX033667,7,5
GEX033796,9,7
GEX033797,6,0
GEX033806,1,9
GEX033807,0,7
GEX033819,4,4
GEX033828,1,0
GEX033868,1,2
GEX033893,3,3
GEX033932,6,0
GEX034098,6,4
GEX034169,5,3
GEX034170,4,0
GEX034186,6,0
GEX034202,9,2
GEX034203,6,2
GEX034239,0,2
GEX034240,1,5
GEX034298,6,2
GEX034338,6,4
GEX034349,6,9
GEX034350,6,0
GEX034351,0,4
GEX034352,5,4
GEX034442,4,2
GEX034477,3,3
GEX034497,9,7
GEX034498,2,5
GEX034503,9,4
GEX034516,0,7
GEX034527,7,4
GEX034532,9,3
GEX034571,0,0
GEX034572,3,3
GEX034576,4,9
GEX034577,6,9
GEX034583,0,2
GEX034584,3,2
GEX034599,6,4
GEX034600,4,4
GEX034675,6,2
GEX034676,0,3
GEX034715,9,7
GEX034782,6,0
GEX034814,7,9
GEX034861,4,3
GEX034867,3,3
GEX034873,5,3
GEX034874,9,3
GEX034876,6,5
GEX034881,6,0
GEX034888,5,3
GEX034927,6,2
GEX034928,7,2
GEX034982,7,4
GEX034983,1,4
GEX034990,4,7
GEX034991,9,7
GEX035002,0,2
GEX035003,1,2
GEX035047,4,2
GEX035048,3,2
GEX035143,9,0
GEX035163,6,0
GEX035164,4,7
GEX035185,6,0
GEX035186,3,3
GEX035203,5,3
GEX035204,5,5
GEX035208,5,7
GEX035280,7,4
GEX035281,7,4
GEX035333,9,2
GEX035334,6,2
GEX035360,7,9
GEX035420,5,2
GEX035421,7,5
GEX035465,9,7
GEX035471,4,3
GEX035483,9,0
GEX035484,1,0
GEX035534,6,1
GEX035535,2,6
GEX035578,1,0
GEX035608,9,2
GEX035618,5,6
GEX035709,0,7
GEX035710,9,2
GEX035751,6,3
GEX035799,4,3
GEX035804,0,2
GEX035880,5,3
GEX035881,5,3
GEX035962,0,7
GEX035963,1,0
GEX036009,7,9
GEX036010,7,4
GEX036025,1,0
GEX036026,9,4
GEX036049,7,9
GEX036050,1,4
GEX036117,1,4
GEX036118,2,4
GEX036134,7,2
GEX036135,3,7
GEX036142,0,2
GEX036143,7,2
GEX036183,7,0
GEX036220,0,9
GEX036221,7,5
GEX036226,3,3
GEX036260,6,3
GEX036261,9,3
GEX036262,4,7
GEX036286,1,3
GEX036350,8,1
GEX036372,6,2
GEX036379,2,9
GEX036381,1,0
GEX036382,7,9
GEX036407,2,6
