threshold,embedding_file,gs_id,cluster
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000884,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000900,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000903,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000904,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000906,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000909,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000918,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000919,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000920,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000922,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000923,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000924,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000925,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000926,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000927,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000932,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000938,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000942,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000971,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000972,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000973,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000976,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000978,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000979,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000981,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000990,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX000999,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001011,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001013,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001015,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001023,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001024,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001027,4
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001035,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001036,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001043,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001048,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001055,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001056,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001058,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001061,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001062,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001063,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001064,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001069,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001074,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001076,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001082,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001083,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001085,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001090,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001091,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001097,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001098,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001112,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001113,6
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001121,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001136,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001138,8
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001145,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001147,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001149,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001152,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001159,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001160,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001161,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001163,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001164,9
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001165,0
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001166,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001171,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001175,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001178,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001180,1
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001182,5
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001183,7
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001189,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001195,3
080,work_alpha_gnn_20260212/embeddings/gnn_holdout_embeddings_l2.npz,GEX001206,3
